Date,AAPL,AMZN,GOOGL,JNJ,JPM,META,MSFT,NVDA,PG,XOM
7/2/2015,28.25887108,21.88549995,27.16177559,73.51859283,50.91962433,86.68448639,38.3638382,0.494133264,59.68260193,52.69399261
7/6/2015,28.16053581,21.80200005,27.07641792,73.33934784,50.7763443,86.94269562,38.35520554,0.488083631,59.77222824,52.30735779
7/7/2015,28.09124756,21.83600044,27.29526711,73.8770752,50.37665176,86.61497498,38.27743149,0.478888094,61.0191803,52.5228653
7/8/2015,27.39393806,21.48500061,26.88188744,73.01820374,49.34346008,85.05584717,38.22558975,0.475500375,60.47411346,51.9524231
7/9/2015,26.83519554,21.71949959,27.02828026,73.48871613,49.8562851,85.28426361,38.46751404,0.469692767,60.22769928,51.71794128
7/10/2015,27.55261803,22.17550087,27.59698486,74.33265686,50.56518936,87.33989716,38.54528809,0.477920264,60.4442215,52.11087036
7/13/2015,28.08453751,22.7784996,28.37212753,74.88529968,51.34949112,89.47498322,39.34885025,0.481065989,61.16107178,52.23762131
7/14/2015,28.07336998,23.2784996,28.98995972,74.51934814,52.06591797,89.05789948,39.41797256,0.481307924,61.25812912,52.67495728
7/15/2015,28.34379578,23.05949974,28.97904015,74.99732208,52.17903519,89.13734436,39.5389595,0.477920264,61.34027863,52.45313644
7/16/2015,28.72150803,23.77400017,29.86336327,75.51264191,52.45806122,90.21977997,40.31658936,0.48856774,61.45224762,52.54821014
7/17/2015,28.96958542,24.15049934,34.71867371,74.74339294,52.19413376,94.31121063,40.28203201,0.485663682,61.4074707,52.35807037
7/20/2015,29.51715279,24.40500069,34.38221741,74.95999146,52.23183441,97.23081207,40.54122162,0.47671029,61.37012863,51.81933975
7/21/2015,29.22213554,24.39999962,34.50678253,74.93756104,52.11116791,97.70748138,40.85229874,0.478888094,60.95198441,51.75595856
7/22/2015,27.98620605,24.41349983,34.49436951,74.81809235,52.85021973,96.36685181,39.34885025,0.469692767,60.84886169,51.8383522
7/23/2015,27.97279739,24.10899925,33.48350906,74.83301544,52.51841354,94.77793884,39.84136963,0.475500375,60.75101089,51.42637634
7/24/2015,27.82527924,26.47100067,32.4929924,74.04885101,51.96787643,96.27747345,39.69447708,0.469934732,60.44234848,50.66584396
7/27/2015,27.43864059,26.57049942,32.66667938,73.39909363,51.2891655,93.51675415,39.18468857,0.467272848,60.20143127,50.23484802
7/28/2015,27.57497025,26.30150032,32.73566437,73.95172119,51.31932068,94.62898254,39.17604446,0.477436155,60.39717865,52.2756691
7/29/2015,27.48780441,26.45000076,32.82349014,74.48199463,51.99052048,96.31719208,39.99688721,0.483243853,60.69076538,52.69399261
7/30/2015,27.34924126,26.83799934,32.97881699,74.56414795,52.06591797,94.54954529,40.50668335,0.484453738,58.25921249,52.61160278
7/31/2015,27.11009979,26.80750084,32.62847137,74.84049225,51.68132019,93.35786438,40.35114288,0.482759893,57.73979568,50.20314026
8/3/2015,26.47089767,26.75149918,32.986763,74.69857025,51.68132019,93.48696136,40.44620514,0.490987509,57.51394653,49.47426224
8/4/2015,25.62161446,26.59499931,32.81605148,74.53430176,51.62852859,93.40751648,41.07695007,0.4929232,57.14507675,48.91019058
8/5/2015,25.79147339,26.85050011,33.41205215,75.07200623,51.83213806,95.77101898,41.11152267,0.498004913,57.03968048,48.91019058
8/6/2015,25.84758759,26.47299957,33.25622559,73.98910522,51.47015381,94.4601593,40.28203201,0.49485907,57.01709366,49.49330139
8/7/2015,25.93515587,26.13100052,32.97038651,73.82480621,51.31932068,93.64585876,40.38571167,0.556081176,56.82137299,48.69471741
8/10/2015,26.8780899,26.20000076,32.90835953,74.52681732,51.95280838,93.49689484,40.89549255,0.575440109,57.49887848,49.91159821
8/11/2015,25.47940063,26.37299919,34.25616455,73.94426727,51.45508194,92.97058105,40.10058212,0.57253629,57.37843704,49.57255554
8/12/2015,25.87229347,26.2954998,34.31423569,73.72025299,50.70846176,93.53661346,40.38571167,0.573988378,57.50641632,50.40418625
8/13/2015,25.85208893,26.4829998,34.06809235,73.54846191,50.9422493,92.7818985,40.37705994,0.569148481,57.04721069,50.31464767
8/14/2015,26.03393745,26.57600021,34.21001434,73.79492188,51.19865036,93.76501465,40.61037064,0.56963259,56.92676926,50.12910843
8/17/2015,26.30334854,26.76099968,34.44524002,74.58657837,51.33440399,93.27841187,40.88685608,0.566002548,56.8590126,50.3914032
8/18/2015,26.15517426,26.75099945,34.1782608,74.2131424,51.43997192,94.50981903,41.11299133,0.560851038,56.55789185,49.83483124
8/19/2015,25.82065773,26.64599991,34.44176483,74.1683197,50.97996521,94.64884949,40.53896713,0.558664262,55.79756546,48.76649094
8/20/2015,25.29081917,25.78899956,33.71922684,73.78001404,49.72808456,89.93180084,39.71270752,0.538495123,55.63945389,47.70454407
8/21/2015,23.74396515,24.7234993,31.96001625,71.91363525,47.96338654,85.46300507,37.4600563,0.521727741,54.08118057,46.14360428
8/24/2015,23.15125656,23.1685009,30.67373848,69.85166168,45.43701553,81.52054596,36.25110626,0.503259361,52.04862213,43.96212387
8/25/2015,23.29045296,23.31850052,30.39385414,68.27883148,45.18060684,82.42424011,35.1987114,0.49281013,51.50660324,43.95573044
8/26/2015,24.62626839,25.03849983,32.73962402,71.57500458,47.44302368,86.58518219,37.14694214,0.529989541,53.3735466,46.38030243
8/27/2015,25.3514328,25.9185009,33.14754868,72.41033173,48.62703323,89.10756683,38.18193817,0.549915969,53.81016541,47.88366699
8/28/2015,25.43449593,25.90049934,32.73714447,71.62015533,48.36308289,90.37867737,38.20804214,0.552346051,53.60690689,48.02439117
8/31/2015,25.31550789,25.64450073,32.14809799,70.72460938,48.34046936,88.80962372,37.85142899,0.546270788,53.20040131,48.13315582
9/1/2015,24.18399048,24.82699966,31.24194527,69.30234528,46.34198761,86.62490845,36.37286758,0.523914695,51.867939,46.11161423
9/2/2015,25.22122192,25.52750015,32.003685,70.25052643,47.18663406,89.26644897,37.71228027,0.539709806,52.55298233,46.8473053
9/3/2015,24.77894211,25.23600006,31.61363792,69.7162323,47.26957703,87.53852081,37.83404541,0.541167736,52.64332962,47.20555878
9/4/2015,24.53197479,24.95000076,31.21217155,68.71530914,46.37970352,87.64774323,37.05997849,0.528531611,51.76254272,46.354702
9/8/2015,25.21448898,25.87700081,31.95257759,70.69452667,47.63157272,88.90894318,38.17324066,0.55113101,52.68098068,47.0200386
9/9/2015,24.72954941,25.84449959,31.92925644,69.40013123,46.89251328,89.8126297,37.4600563,0.540195882,51.55177689,46.06044388
9/10/2015,25.27285957,26.11199951,32.3098793,69.77642059,47.25450516,91.34194946,37.65139771,0.54870075,51.43131638,46.39311218
9/11/2015,25.64105225,26.47200012,32.51929474,69.93444824,47.17910385,91.41146851,37.81664658,0.550401926,51.50660324,46.50185776
9/14/2015,25.88800621,26.06900024,32.37885666,70.22794342,47.04334259,91.66964722,37.43396378,0.551374137,51.2355957,46.37389755
9/15/2015,26.10578346,26.11849976,33.0041275,71.04070282,47.94830704,92.25556946,38.25152588,0.557448864,52.28197479,46.61060715
9/16/2015,26.1349678,26.36949921,33.02646255,71.19875336,48.37062073,92.80174255,38.52983856,0.561336935,52.77130127,47.5318222
9/17/2015,25.57593918,26.94350052,33.33165741,71.3718338,47.24695969,93.68556976,38.48635483,0.566439867,52.87669754,47.63418198
9/18/2015,25.47042465,27.01300049,32.79819107,70.28062439,45.95736313,93.74516296,37.81664658,0.565954208,52.65085983,46.4954567
9/21/2015,25.86555862,27.41950035,33.09891129,70.08493042,46.34198761,94.88719177,38.36458969,0.571786284,53.18534088,46.94966888
9/22/2015,25.459198,26.92000008,32.41507721,70.1677475,45.93474579,92.3151474,38.18193817,0.556233823,52.83905792,46.53384018
9/23/2015,25.6657505,26.80349922,32.41954803,69.97959137,45.73112488,93.31814575,38.15585709,0.558907092,52.89173889,46.2523613
9/24/2015,25.81842041,26.6875,32.49993515,69.59579468,45.41439056,93.75509644,38.19065094,0.569599152,53.719841,46.52743149
9/25/2015,25.75330544,26.21249962,31.76746941,68.48205566,46.35706711,92.12646484,38.21674728,0.57373035,54.70598602,46.8473053
9/28/2015,25.24367332,25.20299911,30.97843361,68.76046753,45.23339462,88.59116364,37.65139771,0.566197038,54.02848053,46.44427109
9/29/2015,24.48483086,24.80349922,30.89705086,70.0172348,45.12782669,86.06877899,37.78186417,0.576160133,54.41241455,46.68098831
9/30/2015,24.76322365,25.59449959,31.67914009,70.25052643,45.98000336,89.27637482,38.49504852,0.5990026,54.15643692,47.56379318
10/1/2015,24.60158539,26.0359993,31.85927773,70.11505127,46.31935883,90.3190918,38.79946136,0.587338448,54.16399384,47.37828064
10/2/2015,24.78118706,26.62700081,32.60316086,70.68699646,46.19023514,91.43132782,39.63443756,0.602647483,54.51778793,48.54260635
10/5/2015,24.87098885,27.18400002,33.33214951,71.31159973,47.10932159,93.35786438,40.55635834,0.617713869,55.12004852,49.13752747
10/6/2015,24.98997498,26.87400055,33.33016968,70.30319977,47.13212204,92.15626526,40.66072464,0.625732839,55.25554276,49.82844925
10/7/2015,24.87098885,27.09700012,33.2487793,71.47717285,47.19287872,91.7590332,40.70421219,0.632294059,55.49645615,50.66648102
10/8/2015,24.58361626,26.65800095,33.09990692,71.55241394,47.19287872,91.82854462,41.26955795,0.635938942,56.00834656,51.19746399
10/9/2015,25.17183304,26.98999977,33.31031418,71.77069092,47.0409584,92.59320831,40.97383499,0.63350898,56.06856537,50.70487213
10/12/2015,25.05508804,27.5095005,33.56787109,72.23724365,46.88145065,93.60612488,40.87817001,0.64031291,55.95566559,50.73044205
10/13/2015,25.09774017,27.44499969,33.90234756,71.83088684,46.75232697,93.46708679,40.78248978,0.64152801,55.79003525,50.64090729
10/14/2015,24.7430172,27.24150085,33.76537704,71.13852692,45.56738281,93.41745758,40.59984589,0.664856136,55.86529541,51.28062439
10/15/2015,25.11345863,28.12199974,34.39115143,73.1102066,47.01058578,95.29434204,40.88684845,0.666557252,55.91048431,52.12506866
10/16/2015,24.92935753,28.53800011,34.50528336,73.93050385,47.42075348,96.8633728,41.32174683,0.677006602,56.38473892,52.76479721
10/19/2015,25.08427238,28.65749931,34.73505783,73.70474243,47.26124191,97.78692627,41.41741562,0.675791562,56.58047485,51.81160355
10/20/2015,25.54226875,28.04400063,33.74502945,73.44133759,47.48910904,96.32712555,41.54787445,0.674819708,56.03092194,51.70924377
10/21/2015,25.5400219,27.78849983,33.33810806,73.47143555,47.13971329,96.43636322,41.05212021,0.666071415,55.89648438,51.3126297
10/22/2015,25.93066406,28.19549942,33.80160522,74.90131378,47.99803162,98.97860718,41.7740097,0.690128744,56.85355377,53.02707672
10/23/2015,26.73440552,29.95149994,35.69678879,75.48825836,48.51455307,101.4811325,45.98358917,0.694745958,58.50939941,53.08464813
10/26/2015,25.88127136,30.43050003,36.28186035,75.20983124,48.53734207,103.0501556,47.18384171,0.691586912,58.85881424,51.95875931
10/27/2015,25.71739197,30.55050087,36.3662262,75.39796448,48.33985138,102.9806442,46.69676971,0.691100717,58.7068634,51.8755722
10/28/2015,26.77705765,30.85499954,36.56968689,75.61620331,49.7526741,103.4771805,46.94900131,0.696689785,58.11441422,52.63684464
10/29/2015,27.05993843,31.32749939,36.96321487,76.28599548,49.53240204,104.1524582,46.40975952,0.672632277,58.50181198,52.60486603
10/30/2015,26.8286953,31.29500008,36.59300995,76.03013611,48.80319595,101.2626572,45.78353882,0.6893996,58.01567078,52.93112183
11/2/2015,27.20586967,31.41749954,37.10663605,76.88800049,49.78305817,102.5933456,46.30539703,0.697418749,58.18278503,54.55604172
11/3/2015,27.51793671,31.26549911,37.1602211,76.7299881,49.96536636,101.8684235,47.09685898,0.692558765,58.52459335,55.56038284
11/4/2015,27.38996506,32.04750061,37.48229218,76.71494293,50.01852798,103.2189865,47.31430817,0.681137621,58.5321846,55.00384903
11/5/2015,27.26370049,32.78250122,37.74828339,77.00841522,50.46668625,108.0055466,47.29691315,0.673361361,58.02327347,54.25535202
11/6/2015,27.29526901,32.96849823,37.79443741,76.69988251,52.00104141,106.3570557,47.76657104,0.766674697,57.40042877,54.03784943
11/9/2015,27.18478966,32.7745018,37.45549774,75.88710022,51.18829346,105.7512894,47.10555649,0.763272583,57.27130508,52.88275528
11/10/2015,26.32800865,32.98400116,37.62869263,76.34616852,51.40856171,107.1614456,46.54022217,0.748692572,57.55233002,53.14088058
11/11/2015,26.17920303,33.66249847,37.97557068,76.65471649,51.15789413,108.2538147,46.6619873,0.741402149,57.69665527,52.66981888
11/12/2015,26.09126854,33.27999878,37.54284286,75.45817566,50.13247299,107.2706757,46.37495804,0.738729477,56.70923615,51.24367523
11/13/2015,25.32918167,32.11750031,36.72600937,75.16467285,49.79824066,103.2289047,45.95749283,0.724149048,56.17751312,50.39833832
11/16/2015,25.74404335,32.39049911,37.23962402,76.17308807,50.5198555,103.3182983,46.76636124,0.738729477,57.19534683,52.20520401
11/17/2015,25.63356209,32.16500092,37.01929092,76.38378906,50.23120499,104.4007263,46.3810997,0.738729477,57.02063751,51.59858322
11/18/2015,26.44525337,33.17699814,37.7155304,77.26428986,51.23384857,107.0223999,47.15162659,0.756901741,57.6510849,52.10193253
11/19/2015,26.7811985,33.06349945,37.71205521,77.12882996,51.39336777,105.5228882,47.23043823,0.759097159,57.89413834,51.81801224
